LAMMPS (15 May 2015)
Reading data file ...
  orthogonal box = (-10.7281 -10.7281 -2.60084) to (10.7281 10.7281 2.60084)
  2 by 2 by 1 MPI processor grid
  reading atoms ...
  424 atoms
212 atoms in group positive_ions
212 atoms in group negative_ions
424 atoms in group salt_ions
PPPMDisp initialization ...
WARNING: Table inner cutoff >= outer cutoff (../pair.cpp:1607)
WARNING: Table inner cutoff >= outer cutoff (../pair.cpp:1607)
WARNING: Table inner cutoff >= outer cutoff (../pair.cpp:1607)
WARNING: Table inner cutoff >= outer cutoff (../pair.cpp:1607)
  Coulomb G vector (1/distance)= 0.359897
  Coulomb grid = 18 18 12
  Coulomb stencil order = 5
  Coulomb estimated absolute RMS force accuracy = 0.000101278
  Coulomb estimated relative force accuracy = 0.000101278
  using double precision FFTs
  3d grid and FFT values/proc = 2744 972
WARNING: Table inner cutoff >= outer cutoff (../pair.cpp:1607)
WARNING: Table inner cutoff >= outer cutoff (../pair.cpp:1607)
WARNING: Table inner cutoff >= outer cutoff (../pair.cpp:1607)
WARNING: Table inner cutoff >= outer cutoff (../pair.cpp:1607)
Neighbor list info ...
  1 neighbor list requests
  update every 1 steps, delay 0 steps, check yes
  master list distance cutoff = 8.1
Setting up run ...
Memory usage per processor = 3.81279 Mbytes
Step Temp Volume Density KinEng PotEng TotEng 
  127000    1.0089592    2394.6897   0.17705843    1.5098694  -0.24277336    1.2670961 
  128000   0.89729145    2394.6897   0.17705843    1.3427628  -0.19895048    1.1438123 
  129000    1.0051569    2394.6897   0.17705843    1.5041794  -0.22360512    1.2805743 
  130000   0.99128338    2394.6897   0.17705843    1.4834182  -0.19131492    1.2921032 
  131000    0.9540237    2394.6897   0.17705843    1.4276605  -0.24616118    1.1814993 
  132000    1.0049578    2394.6897   0.17705843    1.5038815  -0.21580721    1.2880743 
  133000    1.0088018    2394.6897   0.17705843    1.5096339  -0.19257959    1.3170543 
  134000    1.0258298    2394.6897   0.17705843    1.5351156  -0.20396914    1.3311465 
  135000   0.98777021    2394.6897   0.17705843    1.4781609  -0.25457619    1.2235847 
  136000   0.98904682    2394.6897   0.17705843    1.4800712  -0.25887467    1.2211966 
  137000   0.99175316    2394.6897   0.17705843    1.4841212  -0.21460132    1.2695199 
  138000    1.0074714    2394.6897   0.17705843    1.5076429  -0.20600114    1.3016418 
  139000    1.0536998    2394.6897   0.17705843     1.576822  -0.24502003    1.3318019 
  140000   0.98324543    2394.6897   0.17705843    1.4713897  -0.21781125    1.2535784 
  141000    1.0164794    2394.6897   0.17705843     1.521123  -0.24595172    1.2751713 
  142000    1.0110941    2394.6897   0.17705843    1.5130641  -0.24723392    1.2658302 
